"dist","yield (kg/acre)","acres","planting fam lab child (pers-hrs/acre)","seed (kg/acre)","Total CAN fert (kg/acre)","Total NPK fert (kg/acre)","Total UREA fert (kg/acre)","dap (kg/acre)","Total P&D chem (kg/acre)","adopter","tenure: owned with title deed","landprep: oxen","landprep: tractor","aehh07","Rain anomaly","Cstar","dap (KES/acre)","Total CAN fert (KES/acre)","Total NPK fert (KES/acre)","Total UREA fert (KES/acre)","Total P&D chem (KES/acre)","Rstar","dap (KES/kg)","Total CAN fert (KES/kg)","Total NPK fert (KES/kg)","Total UREA fert (KES/kg)","Total P&D chem (KES/kg)","harvesting (KES/hour)","P"
"Kisii","5.72818236147974","0.405465108108164","3.40119738166216","2.07944154167984","0","0","1.89711998488588","2.99573227355399","0","1","0","0","0","1.9139771019523","0.30235245008898","5.98309629743747","800","0","0","233.333333333333","0","8.31844952692556","80","0","0","70","0",NA,"13.3333333333333"
"Kisii","6.45741309059566","0","1.79175946922805","2.19722457733622","0","0","0","3.91202300542815","0","1","0","0","1","1.70474809223843","0.323766670306589","7.66152708135852","1800","0","0","0","0","9.04768025604148","36","0","0","0","0",NA,"13.3333333333333"
"Kisii","7.51187450517182","-0.693147180559945","0","2.07944154167984","3.68887945411394","0","0","3.68887945411394","-2.30258509299405","1","1","0","0","1.63510565918268","0.30235245008898","8.07090608878782","1600","1400","0","0","250","10.1021416706176","40","35","0","0","2500",NA,"13.3333333333333"
"Kisii","6.7566532805329","-0.287682072451781","0","2.23359222150709","0","0","0","4.19970507787993","0.287682072451781","1","0","0","0","1.93152141160321","0.323766670306589","7.34815843845158","2666.66666666667","0","0","0","720","9.34692044597872","40","0","0","0","540",NA,"13.3333333333333"
"Kisii","6.18361266471967","0.22314355131421","0","1.97408102602201","0","0","0","3.24259235148552","-0.916290731874155","1","0","0","0","1.76587169827593","0.30235245008898","7.15929190479756","980","0","0","0","216","8.7738798301655","77.8","0","0","0","540",NA,"13.3333333333333"
"Kisii","6.69848689576586","0","0","2.19722457733622","0","0","0","4.0943445622221","0.693147180559945","1","0","0","0","2.01734448219225","0.323766670306589","8.22147894726719","2400","0","0","0","1080","9.28875406121169","80","0","0","0","540","6.25","13.3333333333333"
"Kisii","6.48955947839515","-0.798507696217772","0","1.93794197940614","0","0","0","3.36345705367931","0","1","0","0","0","1.46595237942534","0.323766670306589","6.31996861408002","1155.55555555556","0","0","0","0","9.07982664384098","80","0","0","0","0",NA,"13.3333333333333"
"Kisii","6.90516191912954","0","0","2.30258509299405","0","0","0","3.91202300542815","0","1","0","1","0","2.02946317187359","0.323766670306589","5.52146091786225","1800","0","0","0","0","9.49542908457537","36","0","0","0","0",NA,"13.3333333333333"
"Kisii","7.1505602711556","-0.693147180559945","0","2.07944154167984","0","0","0","4.60517018598809","0","1","0","1","0","1.58668092531148","0.30235245008898","6.65929391968364","3600","0","0","0","0","9.74082743660143","36","0","0","0","0","6.25","13.3333333333333"
"Kisii","6.94230162273472","-1.6094379124341","3.40119738166216","2.30258509299405","0","0","0","3.2188758248682","0","1","1","0","0","0.482426149244293","0.323766670306589","7.13089883029635","1000","0","0","0","0","9.53256878818055","40","0","0","0","0",NA,"13.3333333333333"
"Kisii","6.9983452451765","-0.693147180559945","0","2.30258509299405","2.99573227355399","0","0","3.91202300542815","0","1","1","1","0","1.76130026174335","0.30235245008898","7.7621706071382","1890","700","0","0","0","9.58861241062232","37.8","35","0","0","0",NA,"13.3333333333333"
"Kisii","6.9983452451765","-0.693147180559945","0","2.30258509299405","0","0","0","3.91202300542815","0","1","1","0","0","2.00148000021012","0.323766670306589","5.56068163101553","1890","0","0","0","0","9.58861241062232","37.8","0","0","0","0","6.25","13.3333333333333"
"Kisii","6.7541888034743","-0.916290731874155","3.91202300542815","2.30258509299405","3.2188758248682","0","0","4.13516655674236","0","1","0","0","0","1.73695123273306","0.323766670306589","7.3132203870903","2362.5","875","0","0","0","9.34445596892013","37.8","35","0","0","0",NA,"13.3333333333333"
"Kisii","7.27753103134833","0.693147180559945","0","2.30258509299405","0","0","0","4.31748811353631","1.90954250488444","1","1","1","0","2.00955541421567","0.323766670306589","8.82025636590632","3000","0","0","0","3645","9.86779819679416","40","0","0","0","540","8.75","13.3333333333333"
"Kisii","6.93186235432537","-1.20397280432594","0","1.89711998488588","0","0","0","4.29501525768425","-1.79175946922805","1","0","0","0","1.67958567233618","0.30235245008898","7.0619059588094","2933.33333333333","0","0","0","333.333333333333","9.5221295197712","80","0","0","0","2000",NA,"13.3333333333333"
"Kisii","7.11160591307591","0","0","2.30258509299405","0","0","0","3.91202300542815","0","1","1","0","0","1.70958486103904","0.323766670306589","4.8283137373023","2000","0","0","0","0","9.70187307852174","40","0","0","0","0",NA,"13.3333333333333"
"Kisii","6.65077213527963","0.182321556793955","0","2.30258509299405","0","0","0","3.37302650469546","-1.79175946922805","1","0","0","0","1.17557332980424","0.323766670306589","7.87537263802163","1120.83333333333","0","0","0","90","9.24103930072545","77.8","0","0","0","540","8.75","13.3333333333333"
"Kisii","6.81872732461187","0","2.484906649788","2.30258509299405","0","0","0","3.91202300542815","0","1","0","0","0","1.84411469956198","0.30235245008898","8.57168137670031","1800","0","0","0","0","9.4089944900577","36","0","0","0","0",NA,"13.3333333333333"
"Kisii","7.39928798552769","-0.287682072451781","0","2.26868354131836","3.54577861047326","0","0","4.19970507787993","0.287682072451781","0","0","0","0","1.94876321803772","0.30235245008898","8.13766869730843","2400","1066.66666666667","0","0","640","9.98955515097352","36","30.7692307692308","0","0","480",NA,"13.3333333333333"
"Kisii","6.59814811217748","0.615185639090233","0","2.32925334007621","3.19147685068009","0","0","3.19147685068009","0","1","0","0","0","1.68268837417369","0.30235245008898","8.05215021075572","972.972972972973","851.351351351351","0","0","0","9.18841527762331","120","105","0","0","0",NA,"13.3333333333333"
